beer_id,brewery_id
1,812
2,264
3,779
4,287
5,1056
6,1385
8,1099
9,501
10,545
11,742
12,779
13,545
14,1099
16,168
17,1023
18,39
19,196
20,483
21,1142
22,1142
23,1142
24,1142
25,1142
26,1220
27,878
28,935
29,1271
30,935
31,1271
32,1271
33,190
34,196
37,1175
38,743
39,1307
40,1307
41,277
43,723
45,723
46,901
47,901
48,176
49,974
50,176
51,432
52,170
53,901
54,39
55,176
56,856
57,160
58,1221
59,1221
60,1315
61,160
62,236
63,935
64,501
65,586
66,670
67,1056
68,905
70,1142
71,161
72,779
73,779
74,779
75,266
76,266
77,266
78,266
79,266
80,1202
81,160
82,1264
83,1264
85,1272
86,425
87,1047
88,1047
89,879
90,879
91,879
92,879
93,879
94,879
95,879
96,901
97,901
98,901
99,901
100,901
101,1185
103,1260
104,1056
105,1056
106,884
108,727
109,1075
110,620
111,304
112,905
113,1315
114,304
115,179
116,179
117,292
118,827
119,1019
120,1029
121,481
122,130
123,1064
124,441
126,584
127,623
128,397
129,441
130,562
131,189
132,130
133,562
134,622
135,562
136,1175
137,236
138,935
139,335
140,671
141,255
142,447
143,447
144,447
145,447
146,1392
147,1151
148,441
149,1151
150,1264
151,62
152,919
153,160
154,742
155,433
156,432
157,723
158,300
159,432
161,869
162,1084
163,192
164,595
165,595
166,595
167,31
168,307
169,458
170,433
171,604
172,122
173,177
174,1138
179,859
181,39
182,810
183,984
184,397
185,481
186,481
187,481
188,481
189,706
190,255
191,890
192,62
195,1136
196,1136
197,950
198,1204
199,892
200,175
202,727
203,202
206,779
207,779
208,935
209,905
210,174
211,70
213,779
214,161
216,296
217,1316
218,501
219,1185
220,174
221,296
222,187
223,905
224,174
225,236
226,905
227,696
228,395
229,1056
230,167
231,935
232,708
233,757
235,590
236,1179
237,1154
238,501
239,44
240,567
241,1176
242,1274
243,369
244,369
245,369
246,501
247,604
248,312
252,501
253,1265
254,1265
255,1265
256,1265
257,1265
258,1265
259,1265
260,624
261,624
262,624
263,624
264,624
265,624
266,624
267,1126
268,1126
269,1126
270,1126
271,1126
272,1126
273,701
274,701
275,701
276,701
277,701
278,701
279,701
280,701
281,892
282,892
283,892
284,892
285,588
286,588
287,588
288,385
289,588
290,308
291,1074
292,1074
293,1074
